Date,EICHERMOT,HCLTECH,ICICIBANK,KOTAKBANK,RELIANCE,SHREECEM,TATAMOTORS,BANDHANBNK,HDFCAMC,HAVELLS,JUBLFOOD,LTI,MUTHOOTFIN,TORNTPHARM,3MINDIA,AIAENG,AAVAS,ABCAPITAL,ASHOKLEY,GMRINFRA,HAL,INDHOTEL,KAJARIACER,LAURUSLABS,MPHASIS,NATIONALUM,NAM-INDIA,PETRONET,PFC,RELAXO,SUMICHEM,TRIDENT,UNOMINDA,UNIONBANK,ANURAS,ASTERDM,BALAMINES,CAMS,DCMSHRIRAM,DELTACORP,ELGIEQUIP,GARFIBRES,GESHIP,GAEL,GPPL,HEG,HATHWAY,IIFL,JSL,KNRCON,MGL,NESCO,RBLBANK,RAILTEL,SIS,SHILPAMED,SOBHA,STAR,SPARC,THYROCARE,UFLEX,AMRUTANJAN,ARVINDFASN,AUTOAXLES,CENTRUM,CRAFTSMAN,DEEPAKFERT,DHANUKA,DOLATALGO,FINOPB,GTPL,GRSE,GEOJITFSL,GREENPANEL,JINDALPOLY,KCP,KSL,KOLTEPATIL,NEWGEN,NUCLEUS,ORISSAMINE,PILANIINVS,PUNJABCHEM,RATEGAIN,RAYMOND,RELINFRA,SANSERA,SHALBY,SHOPERSTOP,USHAMART
10-12-2018,2012.288452,432.0263062,341.6099854,1196.389771,1063.414063,15798.4834,157.1000061,467.8093872,1424.452881,649.2769775,236.9502563,1407.083374,429.6561279,806.8638306,20941.34961,1610.848633,774.5999756,94.90000153,90.28124237,14.85000038,643.3963013,138.3853607,411.4517212,71.05423737,843.6746216,46.91548157,150.6028748,177.2262115,63.77375793,367.4034424,,5.574673176,154.8988953,67.78421783,,147.3500061,416.0046692,,335.2610779,221.3559113,109.444046,1179.139771,270.6490784,105.9142761,74.65839386,3561.811523,30.5,221.1264801,31.70000076,94.78686523,753.8436279,429.143158,540.9202271,,375.3998108,368.1306458,407.1886902,410.7442017,200.5,487.8965149,252.5710449,235.6507416,,1223.665283,36.07813263,,124.8733902,396.6494141,,,78.64674377,79.47951508,32.20942688,,203.7329865,82.7576828,187.2444153,214.9034729,296.0987244,332.1190186,718.3499756,1450.703735,626.786438,,758.5306396,297.5,,144.3032684,495.8412781,34.59250641
11-12-2018,2033.462769,438.8369141,338.108551,1216.706421,1070.53418,15771.07129,158.1000061,462.7051086,1436.095459,673.9886475,248.3706207,1455.0271,434.6548462,801.4384155,20969.19922,1573.61731,785.9000244,98.30000305,92.75284576,14.75,647.6455688,142.6744537,430.6070251,73.23963928,857.8532104,47.2196312,152.393631,175.9509125,66.53173828,367.5769348,,5.609899044,157.8512115,69.53684235,,150.6499939,422.9130859,,333.2597046,227.0168152,110.9230194,1196.826904,276.3190002,110.1244049,73.86919403,3510.660645,30.89999962,227.1489563,32.09999847,94.53808594,747.8790283,428.6532593,551.7287598,,378.527771,373.9692993,412.9383545,437.8157349,204.1999969,491.5841675,259.2380066,235.6507416,,1270.132446,34.83061981,,129.0010834,397.3953857,,,76.48511505,80.97106934,31.98017883,,212.6535645,82.3249054,191.9580536,221.3214111,299.1275024,332.1190186,727.5,1427.830566,640.1810913,,784.2485352,292.6499939,,145.5807037,496.7897949,35.67506027
12-12-2018,2130.588379,445.4411316,345.1607056,1235.126221,1083.165527,16387.46094,164.1000061,467.7598572,1476.114014,687.0510864,243.8123627,1547.529541,442.4768677,842.4758911,22459.69922,1609.683472,805.5499878,98.25,94.50544739,15.44999981,661.1658936,148.9848938,442.941864,73.94277954,855.6378784,49.04454422,152.7517853,180.499527,64.3026886,369.138916,,5.830069065,163.411438,72.99474335,,151.1999969,432.1887817,,341.0325928,233.6937714,113.6185608,1182.480591,291.0696106,117.3207932,81.20876312,3568.379639,31,236.7642517,33,95.40882874,770.5004883,432.3764343,566.9297485,,389.6601868,380.8470154,421.1857605,441.2950439,212.1999969,500.7348022,269.5282898,239.270874,,1311.029175,37.32564926,,132.7658844,398.934082,,,77.22097778,81.05630493,32.36226273,,216.6027832,88.76856995,196.8063965,230.1217499,295.9064331,334.2923279,873,1455.005249,648.0601196,,807.7819824,296.1499939,,149.2165527,503.5794373,38.28303146
13-12-2018,2093.171387,448.5597839,344.7662048,1262.331665,1079.800293,16461.11914,166.8500061,499.7730713,1462.161743,687.392334,247.4115143,1666.578003,445.5316162,853.5657959,23438.80078,1593.373657,835,98.25,93.83137512,15.5,660.8225098,146.7663727,435.0088501,73.49615479,863.3474731,49.04454422,152.0354767,180.9246368,65.09607697,364.1803894,,5.733194351,163.4360352,73.13684082,,150.3000031,431.705658,,335.6334229,237.6612396,114.8828583,1192.208496,302.0550232,115.7297592,80.77471161,3642.20459,31.04999924,256.3825989,33.04999924,97.15032196,772.0910034,437.6182556,574.0861206,,380.7197876,379.0657349,426.9354858,440.7230835,211.1499939,500.9169006,260.7356873,240.8363342,,1308.934448,37.42544937,,134.1720123,402.7574768,,,77.45094299,80.45967865,33.35566711,,215.6735687,91.26908875,198.5571899,224.773468,301.0505371,336.3325806,938.7000122,1461.662354,656.0871582,,858.175293,286.9500122,,146.5633698,507.9727173,37.79096222
14-12-2018,2130.062744,440.8319702,347.0840454,1253.895386,1084.823608,16652.41992,166.9499969,529.06073,1473.568481,693.5336304,246.511734,1725.101074,436.5061951,851.1519165,22950.05078,1574.102783,839.4500122,98.84999847,93.51680756,15.75,659.0626831,147.9495697,430.5103149,72.24195099,861.4866333,48.77841949,150.3342438,184.7505798,68.53411102,359.2218323,,5.719983578,163.3868256,73.70526886,,150.1999969,433.1549683,,333.399292,234.2259979,114.7158661,1207.340698,308.9652405,117.2473679,80.49849701,3623.489258,30.85000038,249.2486725,32.95000076,94.51320648,770.1911011,447.0241394,570.3352051,,376.5081482,376.5917358,434.758728,442.6295471,209.6499939,500.1428833,255.8561859,239.8579407,,1315.409302,36.72683716,,130.5886383,414.7870178,,,78.18682098,81.01370239,32.93537903,,212.7929535,93.76960754,196.3574829,226.1834869,301.146698,333.2278137,942.1500244,1453.571289,669.8754883,,843.6779175,291.9500122,,144.5489349,509.9197388,36.36395645
17-12-2018,2128.414551,445.6245728,353.5444336,1220.450195,1102.087891,16692.8457,173.9499969,559.4385376,1481.534668,688.5620728,252.5234833,1658.857544,442.4305725,845.3918457,22963.59961,1574.296753,839.9500122,99.55000305,95.26940155,15.69999981,674.3858032,144.9915619,432.1549683,72.24195099,865.3413696,49.23464203,150.5581055,191.3822327,69.36529541,354.4864197,,5.706773758,162.8701782,73.75263214,,151.6000061,432.9134216,,333.0734863,236.8387299,118.8426895,1160.863037,304.2255554,124.2479477,80.02497101,3586.194824,31,251.7817535,32.90000153,95.68249512,793.0777588,439.8227539,571.4703979,,379.8084412,376.0474548,441.4038696,445.5368958,209.0500031,500.3250122,261.0737915,240.1514282,,1306.077881,36.62704086,,132.3576355,418.7035828,,,76.99101257,81.48246002,33.16463089,,212.7000275,91.94229889,197.7491302,228.0310669,300.3774719,336.6430359,960.5499878,1466.988037,682.7284546,,851.1251831,288.1499939,,141.94487,510.069519,36.01950836
18-12-2018,2143.490234,451.8389893,357.2923889,1235.076294,1108.427979,16792.78516,174.75,566.4259644,1502.03894,684.2728882,254.9855499,1618.396362,447.8458252,825.4347534,22845.09961,1590.703857,835.7000122,100.5500031,94.19087982,15.69999981,673.5272217,142.9702606,444.9735107,73.65771484,890.68573,49.23464203,150.5581055,190.6170349,72.9544754,363.1390686,,5.764018059,161.7630615,76.21578979,,149.8000031,441.8025818,,332.4684143,248.7411346,126.7862091,1160.027954,304.579895,125.6921158,80.06440735,3584.710449,31,248.3440247,32.95000076,96.72737885,785.0366211,436.5404968,570.0884399,,370.0552673,374.8599243,445.3626404,450.4936218,209.6999969,506.2434082,261.0254822,242.2060852,,1318.694458,36.97634125,,136.4399414,414.9735413,,,76.3011322,80.63014221,33.47029495,,218.5077057,94.49092102,196.8063965,226.6210785,305.9061584,336.1551819,949.1500244,1461.252686,678.7888794,,846.3092651,295.1499939,,142.387085,512.9151611,36.01950836
19-12-2018,2151.577881,438.9744873,361.4841919,1223.64502,1108.818115,17252.0957,173.8999939,551.460083,1482.760132,687.2947388,265.7137756,1611.486084,465.9429626,856.3144531,22850.94922,1595.800659,849.2999878,99.94999695,96.79730225,16.45000076,677.046936,146.8156586,461.6618347,73.98077393,878.5895996,48.77841949,150.4237976,192.0623779,72.9544754,367.7009277,,5.86089325,163.632843,78.72631836,,155,446.5370789,,332.8407898,246.9993286,127.1201706,1167.200806,308.8323364,122.5345154,81.84012604,3568.919434,30.89999962,253.6427765,32.95000076,98.41912079,793.6079712,437.3243408,574.3822632,,377.6164551,383.1726074,452.6204224,446.8237305,209.3999939,509.6122742,264.6488647,247.4405975,,1305.744629,38.47335815,,137.5739288,416.9318237,,,77.54292297,81.22677612,35.99202728,,222.689209,93.48108673,204.6175842,248.9379578,304.6081238,336.1551819,932.1500244,1460.399292,683.1716919,,847.4015503,299.2000122,,142.3379517,499.036377,36.70840454
20-12-2018,2163.81958,440.0522461,357.1937866,1234.277588,1100.673706,17254.01758,176.3999939,532.8269043,1460.087769,686.9536743,267.631958,1630.119995,462.3790894,863.4129028,22488.59961,1582.500488,843.3499756,99.5,95.40421295,16.39999962,673.0552368,143.857666,468.6274109,73.21112823,873.1396484,46.91548157,147.3795013,188.1939392,74.39012146,362.0978088,,5.830069065,161.9352722,78.11052704,,152.25,442.2857361,,329.9084167,246.9509125,127.2394485,1158.160889,300.7261658,119.8909454,80.57740784,3526.765869,31,262.250061,33,99.56352997,784.3739014,440.3616333,571.2730103,,376.9761047,386.6856689,450.3582153,448.4442139,209.1499939,501.6907959,266.2914734,250.5225983,,1301.126343,38.82266617,,139.9326019,421.0349121,,,77.22097778,81.26939392,35.41890717,,221.6670685,92.13464355,205.874588,241.0127869,301.771637,336.9091492,915.25,1457.565674,698.9299316,,852.1181641,302.6499939,,150.1009216,504.5779114,36.75761032
21-12-2018,2119.415527,437.7361755,349.3525696,1225.192383,1073.118896,16907.02148,176.25,522.1228638,1437.69812,674.0859985,259.7514343,1597.045776,450.4377441,852.7293701,22059.69922,1565.025391,823,98.05000305,94.68520355,15.89999962,674.8150024,144.7450714,471.1427307,73.81925201,858.2520752,47.29567719,145.3649139,189.9368591,74.12565613,359.2218323,,5.724388123,159.3765717,78.06316376,,147.1000061,436.7782898,,314.5487671,241.1932678,128.789978,1154.770752,292.1327515,123.0975037,80.97200012,3501.123047,31.04999924,253.7720184,32.65000153,99.11571503,779.911377,442.9090271,556.368042,,372.2472839,376.8886414,440.4612122,439.1502991,208,502.4191895,268.7552795,286.8706665,,1274.417236,37.47534943,,136.2585297,428.7748718,,,78.83071136,80.71537018,34.99861908,,216.6957245,92.9040451,206.0990295,233.8655396,290.0892334,336.3769531,883.9500122,1429.264282,689.671936,,853.4586792,307.6000061,,147.5951691,507.8728638,36.51157761
24-12-2018,2084.66626,430.1229858,347.9223938,1236.473999,1062.340942,16521.17383,172.5,519.595459,1408.049561,651.0803223,241.0536652,1615.584595,457.6117859,845.8936157,21535.15039,1583.17981,788.4000244,97.05000305,94.01112366,15.75,674.8579102,144.0055695,466.0152893,72.40348053,902.2501831,46.80142593,143.9770508,189.5542603,75.93914032,360.3622742,,5.746404648,157.7035828,78.67895508,,148.25,435.8604431,,312.2680664,238.7740631,124.5438919,1150.299927,281.0586853,118.0796051,81.68228149,3306.911133,31.10000038,258.4504089,32.5,99.56352997,775.493103,431.7885742,553.949707,,369.414917,376.4927979,427.0296936,435.7662964,203.8500061,494.0425415,262.6680908,275.6188965,,1284.320313,36.92644119,,131.904068,434.3700256,,,76.99101257,81.01370239,35.1132431,,216.974472,88.91281891,201.6098328,233.330719,283.6951904,329.0142517,858.8499756,1450.464722,693.1190186,,828.8330078,307.5,,145.089386,506.4250793,36.06871796
26-12-2018,2073.04834,432.3931885,350.9799805,1246.108276,1071.314575,16836.56445,170.8999939,540.5081177,1380.80481,660.1461792,243.8024902,1599.19043,462.3327637,838.078186,20597.55078,1589.781494,800.3499756,97.09999847,93.38198853,16.20000076,670.9519653,145.5338745,473.5129395,72.3939743,899.2814941,47.82793808,140.0821686,189.2566986,75.56131744,359.4449768,,5.680353642,157.6790009,79.10526276,,149.75,432.4303284,,323.6249084,234.9033508,121.5143814,1113.402588,282.7419128,118.8384094,81.68228149,3214.19165,31.04999924,255.5554657,32.54999924,102.8723602,773.0188599,432.082489,551.6793823,,368.7499084,384.4590454,421.1857605,438.0540466,199.3999939,493.5872192,262.4748535,261.627594,,1284.55835,35.9783287,,131.5865479,437.0743713,,,77.31297302,80.50228882,34.42549133,,216.4169464,87.61446381,199.320343,231.483139,284.4162903,331.3206177,958.2000122,1440.052368,687.7020874,,827.7904053,303.3999939,,142.5836182,510.6686096,35.33061218
27-12-2018,2065.248047,435.1448669,350.7827148,1238.221069,1092.626465,16711.28711,168.25,535.800293,1400.648926,667.6035156,243.9112549,1600.238892,456.4546814,831.5533447,20258.69922,1641.138306,807.2999878,98.15000153,92.57310486,15.94999981,676.8752441,145.5338745,473.8999023,72.56500244,870.4367676,47.67586136,140.7984467,189.1716614,76.01470184,358.4532471,,5.702370644,158.6139221,79.48421478,,148.6499939,432.7201843,,308.3117676,236.0645599,123.1841812,1155.851685,276.5404663,118.05513,80.10388184,3324.276367,31.25,256.1241455,32.34999847,108.0719528,790.9570313,435.1198425,569.4468994,,376.5820618,381.2923584,420.384613,435.1467285,194.1000061,490.9468079,261.9434509,261.1873474,,1315.456909,36.27773285,,136.3946075,431.2927246,,,76.39312744,79.43688965,34.2726593,,215.9058685,88.04725647,200.9364624,230.0245056,282.4452209,332.7843018,974.9500122,1420.012817,698.7329102,,821.8822021,302.7999878,,143.0258026,507.9227905,35.23219681
28-12-2018,2076.887695,439.5248718,355.8129272,1239.319336,1097.844971,16987.04297,170.8500061,531.0924683,1431.853149,672.7213135,246.927002,1649.897827,467.0074768,850.5303955,20974.09961,1630.653564,816.75,99.90000153,92.34841156,16.25,678.6779175,146.3719788,469.2078247,72.68852997,889.755249,48.5883255,142.2310791,192.2324371,79.41495514,362.8911438,,5.764018059,158.9829407,81.42631531,,152.0500031,435.7154846,,315.7123413,242.5479889,128.5514221,1160.715576,274.5028687,116.7822952,80.69578552,3318.292969,30.89999962,255.9949341,33,105.5841064,792.901001,437.6672668,572.9509888,,371.3113403,378.5214539,421.7513428,442.8201904,190.3500061,489.8086243,269.1901245,262.0189514,,1304.316284,35.27972031,,136.1224518,431.01297,,,82.14215088,79.64997101,34.76937103,,215.7200012,88.52812195,200.5324249,232.8444977,284.8489685,331.9415894,958.6500244,1423.836426,702.0322876,,831.1663818,311.9500122,,141.6500854,528.9406128,35.37981796
31-12-2018,2079.964111,442.2765503,355.2211304,1254.444458,1093.650879,16995.96289,172.6999969,545.265564,1418.74939,674.0859985,247.5894775,1650.088501,477.6528625,846.7540894,20824.40039,1628.22644,857.5,100,92.12371063,16.39999962,692.6274414,145.6324615,477.0441284,72.12792969,902.5159912,50.03304291,142.14151,190.5745087,81.11507416,363.3621826,,5.847681999,159.0075378,81.37895203,,155.3000031,441.9958801,,315.0142212,245.4026489,124.6393127,1188.671021,279.7297974,117.6634903,81.01147461,3335.883057,30.79999924,260.6474609,34.20000076,106.0568008,799.1750488,431.6905823,568.1636353,,379.0696106,381.5397339,429.1505127,439.4362488,188.0500031,491.2654724,273.7313538,283.3483582,,1322.074585,35.42942429,,134.8523865,433.3908386,,,83.10799408,79.0533371,35.22786713,,215.9523315,88.14343262,201.9689636,231.8234711,283.5028992,335.5785522,976.9000244,1477.741821,701.1952515,,838.8122559,316.2000122,,143.5171356,539.3746948,35.5766449
01-01-2019,2083.265137,440.2127686,358.7718506,1248.404419,1093.406982,16736.77734,173.4499969,551.7573853,1427.61084,677.3028564,247.3620605,1633.170166,474.4129639,848.737915,20666.34961,1625.556641,845.25,100.0999985,92.12371063,16.39999962,685.5454102,143.9562683,478.1566772,72.77404785,891.1287842,49.84295273,142.4549103,194.6980438,81.15286255,366.26297,,6.006204128,159.3765717,83.65263367,,161.5500031,442.575592,,319.342865,243.5640564,123.6851349,1169.559204,278.4895325,117.8103485,80.77471161,3316.80835,30.75,258.4245911,34.25,104.4894562,806.2442627,431.7885742,569.6442871,,378.6016235,388.5164185,434.6644897,444.3453064,189.25,490.8557434,271.4124451,279.3857727,,1338.976074,37.07614517,,135.5327759,415.066803,,,78.14081573,78.79763031,35.1132431,,217.8107605,88.4319458,200.2630615,253.7514191,283.3586426,337.0422363,984.3499756,1466.612671,707.8432617,,837.0249634,316.6000061,,143.4680023,531.7363281,35.62585449
