stock,year,EBITDA_growth,CFO_growth
GAEL,2018,0.11175829416172767,1.4408602150537635
GAEL,2019,0.17656790955605262,
GAEL,2020,-0.24095099213582616,-0.5793746399203896
GAEL,2021,,0.23347030257751222
GAEL,2022,0.32018809447472485,1.0049128474325326
GARFIBRES,2017,0.32093508562471973,-0.15774287482128058
GARFIBRES,2018,0.23946258872503434,-0.7679325770133968
GARFIBRES,2019,0.19419866308391986,
GARFIBRES,2020,-0.01578164037253771,-0.17580997940676124
GARFIBRES,2021,0.13991300711079369,1.0820796193578306
GARFIBRES,2022,0.03937341236240477,-0.7200652421258936
GEOJITFSL,2017,0.39894433604293233,1.3500863250635668
GEOJITFSL,2018,0.2253124385310894,-0.47601509202770853
GEOJITFSL,2019,-0.3764879832249045,-1.4106756533990006
GEOJITFSL,2020,0.20069009779875802,
GEOJITFSL,2022,0.2121717549799902,-1.690596076266367
GESHIP,2017,-0.07904895929408862,-0.2924169932999493
GESHIP,2018,-0.32752915425556617,-0.3633149781183057
GESHIP,2019,0.025593981499251406,0.13083639516162338
GESHIP,2020,0.0689301566628493,0.3516870647719701
GESHIP,2021,0.32012912441880004,0.03588043456243306
GESHIP,2022,-0.10478716350616624,-0.13793125924767147
GMRINFRA,2017,,0.2877367525765828
GMRINFRA,2018,-0.3576974859649271,-0.4788968787672252
GMRINFRA,2019,,-0.12565556554377322
GMRINFRA,2020,,-0.3295960083224917
GMRINFRA,2021,,-0.9975069956754007
GPPL,2017,0.09831255745458423,0.042120563114076415
GPPL,2018,-0.10816668997343037,-0.22486988920868978
GPPL,2019,0.07261742799824744,-0.047905923943106776
GPPL,2020,0.12760500642786798,0.14645140825083058
GPPL,2021,-0.10417735105877945,0.12969753454979704
GPPL,2022,-0.062241953196162436,-0.01949334323340457
GREENPANEL,2022,,0.7120069407312866
GRSE,2021,-0.07210811928750893,-0.17928327211252104
GRSE,2022,0.23989887157120138,-1.691109812993425
GTPL,2019,-0.04754471168670982,-0.3100858863564151
GTPL,2020,0.46324436980231054,0.38400880313875496
GTPL,2021,0.3168545022932081,0.39848808528905977
GTPL,2022,-0.024807042721878947,-0.26976261790546496
HAL,2019,0.16622731324318685,
HAL,2020,0.0825487039385957,-1.1983551247487105
HAL,2021,0.07039931500933228,
HAL,2022,0.12151831230023813,-0.33632466759277635
HATHWAY,2018,0.7024830497058956,-0.09830257847878998
HATHWAY,2019,,-0.15872907413734194
HATHWAY,2020,,0.7865497076023391
HATHWAY,2021,-0.027961642905634743,0.06223858883433353
HATHWAY,2022,-0.23785411846872417,-0.28788786646693776
HAVELLS,2017,-0.49855135236378323,0.49403034493504494
HAVELLS,2018,0.3409165188159491,0.4339182353861397
HAVELLS,2019,0.142628330678366,-0.5442619075759367
HAVELLS,2020,-0.13200877620672857,0.6453279604213216
HAVELLS,2021,0.5439720544867297,-0.19937679595523594
HAVELLS,2022,0.09193128460497735,1.6166159344570135
HCLTECH,2017,0.522904030067354,1.3530981368799408
HCLTECH,2018,0.08875119993018599,-0.0741523068371317
HCLTECH,2019,0.19180827188201355,0.07720941402497594
HCLTECH,2020,0.20418319994619671,0.4891316464162301
HCLTECH,2021,0.17146048589779395,0.4685230930458866
HCLTECH,2022,0.029606674612634,-0.13854623305127944
HDFCAMC,2020,0.23411768945263245,0.4369561813586238
HDFCAMC,2021,0.05892898855407602,-0.1552878179384204
HDFCAMC,2022,0.05761287369506585,0.15517082519441283
HEG,2017,-0.3749567835278015,-0.3700621357198156
HEG,2019,,1.505199832474157
HEG,2020,,-0.5036326301056353
HEG,2021,-0.557116891647448,-0.031030973847257726
HEG,2022,,-1.1964432455782261
ICICIBANK,2017,-0.04757286352584822,1.2260441360679382
ICICIBANK,2018,-0.16333636125131623,-0.6317519551692204
ICICIBANK,2019,-0.09194203264472756,1.5110262960573824
ICICIBANK,2020,0.5465713306631379,0.6347447237359631
ICICIBANK,2021,0.16201645865939485,0.7346287482551976
ICICIBANK,2022,0.2366204075722831,-0.5789493523735262
IIFL,2017,0.16630445195742727,
IIFL,2018,0.403423139178138,
IIFL,2019,-0.11574140613734551,-1.0402552166330932
IIFL,2020,-0.13637289271020858,1.608364631588925
IIFL,2021,0.15465359807976342,
IIFL,2022,0.2441996559686126,-1.4972965121465978
INDHOTEL,2017,0.14851380788419632,-0.136129292929293
INDHOTEL,2018,0.15410382697543512,-0.07945446381800492
INDHOTEL,2019,0.21889123030230762,0.4458489990854586
INDHOTEL,2020,0.2405266992138655,0.15748562753890072
