"Date","Price","Open","High","Low","Change %"
"Dec 30, 2021","6.421","6.433","6.433","6.419","0.25%"
"Dec 29, 2021","6.405","6.419","6.419","6.402","-0.11%"
"Dec 28, 2021","6.412","6.428","6.428","6.410","0.38%"
"Dec 27, 2021","6.388","6.367","6.411","6.367","0.27%"
"Dec 24, 2021","6.371","6.454","6.454","6.371","0.05%"
"Dec 23, 2021","6.368","6.385","6.403","6.368","0.05%"
"Dec 22, 2021","6.365","6.394","6.394","6.361","0.02%"
"Dec 21, 2021","6.364","6.364","6.438","6.364","0.87%"
"Dec 20, 2021","6.309","6.326","6.334","6.307","0.41%"
"Dec 17, 2021","6.283","6.292","6.292","6.280","0.43%"
"Dec 16, 2021","6.256","6.267","6.267","6.256","0.21%"
"Dec 15, 2021","6.243","6.250","6.258","6.243","0.11%"
"Dec 14, 2021","6.236","6.269","6.269","6.236","-0.26%"
"Dec 13, 2021","6.252","6.267","6.267","6.252","0.00%"
"Dec 10, 2021","6.252","6.285","6.285","6.251","0.22%"
"Dec 09, 2021","6.238","6.263","6.268","6.238","-0.16%"
"Dec 08, 2021","6.248","6.277","6.277","6.248","-0.67%"
"Dec 07, 2021","6.290","6.286","6.295","6.281","0.53%"
"Dec 06, 2021","6.257","6.269","6.278","6.257","0.06%"
"Dec 03, 2021","6.253","6.261","6.261","6.253","0.16%"
"Dec 02, 2021","6.243","6.287","6.287","6.243","-0.18%"
"Dec 01, 2021","6.254","6.288","6.300","6.254","0.27%"
"Nov 30, 2021","6.237","6.271","6.271","6.218","-0.08%"
"Nov 29, 2021","6.242","6.246","6.246","6.241","0.06%"
"Nov 26, 2021","6.238","6.246","6.272","6.238","-0.54%"
"Nov 25, 2021","6.272","6.281","6.281","6.272","-0.29%"
"Nov 24, 2021","6.290","6.286","6.290","6.276","0.42%"
"Nov 23, 2021","6.264","6.298","6.320","6.264","0.26%"
"Nov 22, 2021","6.248","6.248","6.324","6.231","0.11%"
"Nov 18, 2021","6.241","6.245","6.265","6.239","-0.29%"
"Nov 17, 2021","6.259","6.283","6.283","6.259","-0.18%"
"Nov 16, 2021","6.270","6.292","6.292","6.266","0.24%"
"Nov 15, 2021","6.255","6.275","6.275","6.253","-0.38%"
"Nov 12, 2021","6.279","6.284","6.292","6.272","-0.02%"
"Nov 11, 2021","6.280","6.327","6.327","6.280","0.32%"
"Nov 10, 2021","6.260","6.276","6.276","6.260","0.42%"
"Nov 09, 2021","6.234","6.277","6.277","6.234","-0.29%"
"Nov 08, 2021","6.252","6.294","6.294","6.252","-0.93%"
"Nov 03, 2021","6.311","6.320","6.328","6.299","-0.28%"
"Nov 02, 2021","6.329","6.380","6.380","6.313","-0.02%"
"Nov 01, 2021","6.330","6.338","6.347","6.321","-0.80%"
"Oct 29, 2021","6.381","6.296","6.381","6.296","1.40%"
"Oct 28, 2021","6.293","6.297","6.300","6.261","0.48%"
"Oct 27, 2021","6.263","6.293","6.314","6.263","-0.49%"
"Oct 26, 2021","6.294","6.331","6.331","6.289","0.08%"
"Oct 25, 2021","6.289","6.331","6.331","6.284","-0.08%"
"Oct 22, 2021","6.294","6.298","6.306","6.281","0.25%"
"Oct 21, 2021","6.278","6.315","6.315","6.278","-0.60%"
