stock,year,ratio_cfo_ebitda,ratio_debt_equity
KAJARIACER,2019,0.685916832,0.073335731
KAJARIACER,2020,0.510010226,0.093368429
KAJARIACER,2021,0.959707236,0.06518366
KAJARIACER,2022,0.666687557,0.075390003
KCP,2016,1.000286253,0.650501521
KCP,2017,0.554120527,0.6335182
KCP,2018,0.72114469,0.632735861
KCP,2019,0.636427543,0.482094345
KCP,2020,0.991620486,0.398665445
KCP,2021,0.333238445,0.392751533
KCP,2022,0.335720907,0.309299684
KNRCON,2016,1.127414388,0.950854619
KNRCON,2017,1.243678467,0.820861019
KNRCON,2018,0.439290772,0.701754122
KNRCON,2019,0.418464471,0.560147108
KNRCON,2020,0.334806079,0.548691388
KNRCON,2021,-0.089925545,0.386732264
KNRCON,2022,,0.571882968
KOLTEPATIL,2016,0.169497046,0.728126927
KOLTEPATIL,2017,0.574634382,0.673726489
KOLTEPATIL,2018,0.725014989,0.578888609
KOLTEPATIL,2019,0.261155872,0.953889979
KOLTEPATIL,2020,1.193833541,0.812050184
KOLTEPATIL,2021,,0.758413583
KOLTEPATIL,2022,,0.558892864
KOTAKBANK,2016,0.568273593,1.295327102
KOTAKBANK,2017,1.19239817,1.27517475
KOTAKBANK,2018,,1.160745153
KOTAKBANK,2019,0.119445149,1.13996021
KOTAKBANK,2020,,0.976759933
KOTAKBANK,2021,0.295636716,0.562702585
KOTAKBANK,2022,0.450032846,0.567571392
KSL,2016,0.67431814,0.555345452
KSL,2017,0.505429201,0.351916967
KSL,2018,0.863325627,0.225261249
KSL,2019,1.203038441,0.02861887
KSL,2020,1.182824515,0.004768367
KSL,2021,0.203255327,0.150747644
KSL,2022,0.928030051,0.248283316
LAURUSLABS,2016,0.499739104,1.19947479
LAURUSLABS,2017,,
LAURUSLABS,2018,0.775302773,0.660922409
LAURUSLABS,2019,0.801799375,0.664735211
LAURUSLABS,2020,0.610043898,0.609921063
LAURUSLABS,2021,0.46597967,0.622759257
LAURUSLABS,2022,0.634466334,0.595891696
LTI,2017,0.825464041,0.0
LTI,2018,0.522962504,0.0
LTI,2019,0.638314422,0.0
LTI,2020,0.696841213,0.168711032
LTI,2021,0.8,0.109249908
LTI,2022,0.468639188,0.094724669
MGL,2017,0.76385852,0.001467525
MGL,2018,0.778396881,0.000570359
MGL,2019,0.710824939,0.0
