stock,year,total_risk
NESCO,2020,0.025477340310679452
NESCO,2021,0.024781947901913112
NESCO,2022,0.01887834752856334
NEWGEN,2016,
NEWGEN,2017,
NEWGEN,2018,
NEWGEN,2019,0.022428862207890927
NEWGEN,2020,0.032786736676122495
NEWGEN,2021,0.028079952293874173
NEWGEN,2022,0.028704432066318945
NUCLEUS,2016,0.04113638632864778
NUCLEUS,2017,0.02746836893516051
NUCLEUS,2018,0.026449576600749772
NUCLEUS,2019,0.022471442549785187
NUCLEUS,2020,0.02084830828662624
NUCLEUS,2021,0.03505549683299389
NUCLEUS,2022,0.027329953517183515
ORISSAMINE,2016,0.029416217551581244
ORISSAMINE,2017,0.0277577294191533
ORISSAMINE,2018,0.01998878589826501
ORISSAMINE,2019,0.035007299458945006
ORISSAMINE,2020,0.04367452446056847
ORISSAMINE,2021,0.03735544579577613
ORISSAMINE,2022,0.03344575682440252
PETRONET,2016,0.018784309869655798
PETRONET,2017,0.019580883598837927
PETRONET,2018,0.01713961029533214
PETRONET,2019,0.01789997548547123
PETRONET,2020,0.019986933683357414
PETRONET,2021,0.020300475590111614
PETRONET,2022,0.014913933356610065
PFC,2016,0.02653144621838413
PFC,2017,0.020723800382308862
PFC,2018,0.020999805280461522
PFC,2019,0.028299014665342025
PFC,2020,0.02771402098737652
PFC,2021,0.024756799831131805
PFC,2022,0.017871635948679198
PILANIINVS,2016,0.01796275161286565
PILANIINVS,2017,0.01907744807891918
PILANIINVS,2018,0.015111399579275401
PILANIINVS,2019,0.01795208998753517
PILANIINVS,2020,0.02245558970266656
PILANIINVS,2021,0.025042005767414707
PILANIINVS,2022,0.022340282172024124
PUNJABCHEM,2016,0.04107304977353543
PUNJABCHEM,2017,0.03289505438752167
PUNJABCHEM,2018,0.022704651164015356
PUNJABCHEM,2019,0.023674248198169674
PUNJABCHEM,2020,0.030146566212694882
PUNJABCHEM,2021,0.030554159921606223
PUNJABCHEM,2022,0.029167574094362905
RAILTEL,2016,
RAILTEL,2017,
RAILTEL,2018,
RAILTEL,2019,
RAILTEL,2020,
RAILTEL,2021,
RAILTEL,2022,0.020287450985899916
RATEGAIN,2016,
RATEGAIN,2017,
RATEGAIN,2018,
RATEGAIN,2019,
RATEGAIN,2020,
RATEGAIN,2021,
RATEGAIN,2022,
RAYMOND,2016,0.020764498458797135
RAYMOND,2017,0.02386954578214397
RAYMOND,2018,0.024465490309030852
RAYMOND,2019,0.02303643741124709
RAYMOND,2020,0.03130636285885872
RAYMOND,2021,0.0267079538631999
RAYMOND,2022,0.031078683645574916
RBLBANK,2016,
RBLBANK,2017,0.0204815377505868
RBLBANK,2018,0.016040959720138817
RBLBANK,2019,0.017940060202038397
RBLBANK,2020,0.04379679035780533
RBLBANK,2021,0.0370098608540906
RBLBANK,2022,0.03111106333395314
RELAXO,2016,0.02578670163266954
RELAXO,2017,0.02339846006239503
RELAXO,2018,0.018712097693060047
RELAXO,2019,0.014120627357291192
RELAXO,2020,0.021883725763360742
RELAXO,2021,0.018096983982799148
RELAXO,2022,0.019719856439828976
RELIANCE,2016,0.017954497631000894
RELIANCE,2017,0.01406232042988517
RELIANCE,2018,0.014183443053060305
RELIANCE,2019,0.017254979925049
RELIANCE,2020,0.02602880987129784
RELIANCE,2021,0.022731780910216246
RELIANCE,2022,0.015869377497968545
RELINFRA,2016,0.029850908080443977
RELINFRA,2017,0.022717194914792502
RELINFRA,2018,0.024255080768992125
RELINFRA,2019,0.03219882464812087
RELINFRA,2020,0.05328159195544339
RELINFRA,2021,0.04035830871582326
RELINFRA,2022,0.04454038421523392
SANSERA,2016,
SANSERA,2017,
SANSERA,2018,
SANSERA,2019,
SANSERA,2020,
SANSERA,2021,
SANSERA,2022,0.02210615842778294
SHALBY,2016,
SHALBY,2017,
SHALBY,2018,
SHALBY,2019,0.021651831603706036
SHALBY,2020,0.0346446970375578
SHALBY,2021,0.036663539735255234
SHALBY,2022,0.02998153735479652
SHILPAMED,2016,0.02960657199884599
SHILPAMED,2017,0.02651818198314479
SHILPAMED,2018,0.022404936309165714
SHILPAMED,2019,0.022968154408144332
SHILPAMED,2020,0.03572968748821871
SHILPAMED,2021,0.030405677039946868
SHILPAMED,2022,0.029234476428642645
SHOPERSTOP,2016,0.019517287708106144
SHOPERSTOP,2017,0.017895076061146774
SHOPERSTOP,2018,0.025381682329399646
SHOPERSTOP,2019,0.019739679144872565
SHOPERSTOP,2020,0.024065426792341242
SHOPERSTOP,2021,0.03295093826931372
SHOPERSTOP,2022,0.03323281616849071
SHREECEM,2016,0.022386825338977023
SHREECEM,2017,0.018549465759815607
SHREECEM,2018,0.016112643594580048
SHREECEM,2019,0.017365679227402158
SHREECEM,2020,0.020450133609735632
SHREECEM,2021,0.02203457617794994
SHREECEM,2022,0.017350086396116623
SIS,2016,
SIS,2017,
SIS,2018,0.024556162883953445
SIS,2019,0.021787294409824888
SIS,2020,0.028346920754102556
SIS,2021,0.02226917887440684
SIS,2022,0.022260630122485404
SOBHA,2016,0.023350581924142404
SOBHA,2017,0.023301067952159818
SOBHA,2018,0.029315308065850802
SOBHA,2019,0.021686522640483232
SOBHA,2020,0.029554015648090973
SOBHA,2021,0.031762488123753575
SOBHA,2022,0.0365812294870971
SPARC,2016,0.02531333066675565
SPARC,2017,0.02090893607919495
SPARC,2018,0.027021594454118936
SPARC,2019,0.029007060738512773
SPARC,2020,0.039904135613253316
SPARC,2021,0.026874363303622598
SPARC,2022,0.03268099875830635
STAR,2016,0.02715819292765394
STAR,2017,0.020126489133201905
STAR,2018,0.01843127242590267
STAR,2019,0.03311862729441437
STAR,2020,0.030672352609482315
STAR,2021,0.036547555533127496
STAR,2022,0.024557466895191882
SUMICHEM,2016,
SUMICHEM,2017,
SUMICHEM,2018,
SUMICHEM,2019,
SUMICHEM,2020,
SUMICHEM,2021,0.02379590910043327
