stock,year,average_return,EBITDA_growth
JUBLFOOD,2021,0.0030258678408881,-0.0826126612846441
JUBLFOOD,2022,-0.0001092914691217,0.3412789343126092
KAJARIACER,2017,0.0010114819084989,0.093611746350638
KAJARIACER,2018,6.509227487566028e-05,-0.0854814438429517
KAJARIACER,2019,0.0002780582315972,-0.0112618869537343
KAJARIACER,2020,-0.0014030356841644,-0.048910694216305
KAJARIACER,2021,0.0039288757504892,0.2046812862174751
KAJARIACER,2022,0.0006268341406813,0.2039915490832264
KCP,2017,0.0012027724585119,-0.0517297589965655
KCP,2018,0.0013957196156412,0.2918609954409552
KCP,2019,-0.0013681869069797,-0.1942527445177277
KCP,2020,-0.0023219796307653,-0.1821645759276123
KCP,2021,0.0031919134208878,
KCP,2022,0.0017695477562118,0.0577749547572237
KNRCON,2017,0.0028024060830517,0.3483602178274576
KNRCON,2018,0.001785628948618,0.7076504590737986
KNRCON,2019,-5.97489145932958e-05,0.2180087433652995
KNRCON,2020,-0.0007891318534663,0.1263509594622633
KNRCON,2021,0.0034785765661602,0.2202742402008748
KNRCON,2022,0.0013948935238415,0.0426606100521844
KOLTEPATIL,2017,0.0028694072931565,0.1548411110594147
KOLTEPATIL,2018,0.0025753642705874,0.2767011804520365
KOLTEPATIL,2019,-0.0003254907543383,-0.1853324497459686
KOLTEPATIL,2020,-0.0022508853200264,0.086729160210722
KOLTEPATIL,2021,0.0030812149008181,
KOLTEPATIL,2022,0.0013881902375294,
KOTAKBANK,2017,0.0010826930422125,0.2541507051998639
KOTAKBANK,2018,0.0008109694764273,0.1866962316984191
KOTAKBANK,2019,0.0011335648726975,0.1594156356189118
KOTAKBANK,2020,0.0001109970839249,0.0328874875713358
KOTAKBANK,2021,0.0015095619837995,0.0477024424017287
KOTAKBANK,2022,0.0001510159492936,0.1329278622132752
KSL,2017,0.0035869012753747,0.2655973953864015
KSL,2018,-0.0005060093953586,-0.2639153396948215
KSL,2019,-0.0011325677083207,0.0726425488106634
KSL,2020,-0.0013410535951646,-0.0858155550691206
KSL,2021,0.0040838160775845,0.4088502095132846
KSL,2022,4.7132772163523e-05,0.2747091123022618
LAURUSLABS,2019,-0.0007229711630735,-0.159615166949632
LAURUSLABS,2020,-0.0005494385744016,0.534048055166469
LAURUSLABS,2021,0.0075182296892411,
LAURUSLABS,2022,0.0022691372180437,-0.0871057767493309
LTI,2018,0.0028281948094529,0.1387536170513092
LTI,2019,0.0012282714377724,0.3545708088007437
LTI,2020,-0.0003106139806161,0.0791087115666178
LTI,2021,0.0045741099447886,0.2717829128683484
LTI,2022,0.0019815022589937,0.1752292048674779
MGL,2018,0.0004681650551798,0.2023140491598034
MGL,2019,0.0006007788026829,0.1496528418933518
MGL,2020,-0.0004938712567164,0.1958358774611677
MGL,2021,0.0017622208272868,-0.1192206274747933
MGL,2022,-0.0013402937089689,-0.0043482752393562
MPHASIS,2017,0.0009574920830582,0.1517299607406721
MPHASIS,2018,0.0017596789355516,0.0160681544059304
MPHASIS,2019,0.0009106536120518,0.2386908933614331
MPHASIS,2020,-0.0012008679339312,0.2183648675575911
MPHASIS,2021,0.0044685492597606,0.0588594051867297
MPHASIS,2022,0.0028628633005772,0.1767961851647705
MUTHOOTFIN,2017,0.003405764684837,0.1929094980875465
MUTHOOTFIN,2018,0.0007477622767817,0.1605794161263347
MUTHOOTFIN,2019,0.0018987454745577,0.1433583791246899
MUTHOOTFIN,2020,0.0006583387314736,0.283748760944986
MUTHOOTFIN,2021,0.003102157036358,0.2425647913926947
MUTHOOTFIN,2022,0.0006588549787617,0.0475432921577794
NAM-INDIA,2020,0.001572814126189,-0.1570863425828158
NAM-INDIA,2021,0.0016268604806023,0.5277671070432415
NAM-INDIA,2022,0.0003665645785172,0.1147782928109149
NATIONALUM,2017,0.0033166527146603,-0.1057604953988962
NATIONALUM,2018,2.714310666954991e-06,0.742245811909106
NATIONALUM,2019,-0.0001646548701076,0.2771682216298552
NATIONALUM,2020,-0.0018079167790657,
NATIONALUM,2022,0.0041191993241984,
NESCO,2017,0.0019155741015917,0.1635827213545841
NESCO,2018,0.0007977918328491,-0.0118719149867787
NESCO,2019,-0.0003900018603159,0.0389863999560022
NESCO,2020,0.0004228603850531,0.212735597051296
NESCO,2021,0.0005916687412443,-0.2197706542007705
NESCO,2022,0.0003913606232327,0.0548585590053076
NEWGEN,2020,-0.0039063417734729,-0.1521642398236332
NEWGEN,2021,0.0043855723776674,0.648091942891684
NEWGEN,2022,0.0024354258605371,0.0852072435579931
NUCLEUS,2017,0.0013380560716991,0.5165726375176305
NUCLEUS,2018,0.0023838415714967,0.0161590327830736
NUCLEUS,2019,-0.0003448250549723,0.2210273424093354
NUCLEUS,2020,-0.0020473694416,0.2316124800899466
NUCLEUS,2021,0.0046202769042024,0.2848992012171929
NUCLEUS,2022,-0.0001994438096338,-0.5755476613380699
ORISSAMINE,2017,0.0008929032651832,-0.343588511454603
ORISSAMINE,2018,-0.0009720528417881,
ORISSAMINE,2020,0.0011970230976304,
ORISSAMINE,2021,0.0045643830048358,-0.239506880733945
PETRONET,2017,0.0021431556570167,0.6663303610682119
PETRONET,2018,0.0007440910181544,0.2387962264533871
PETRONET,2019,0.000569153063623,0.0427404337117798
PETRONET,2020,-0.000466503937543,0.1248693985393585
PETRONET,2021,0.0009105430848195,0.1819993342225885
PETRONET,2022,-0.0003012496484862,0.1117704404683361
PFC,2017,0.0025215681011,-0.1455686157314645
PFC,2019,0.0016828361813726,0.2476387705709795
PFC,2020,-0.0002898321714055,0.0468043391477119
PFC,2021,0.0014095296358631,0.175357589596401
PFC,2022,0.000556040716686,0.0545832171692413
PILANIINVS,2017,0.0025581911753191,0.3961626807188216
PILANIINVS,2018,0.0008852158902232,-0.2306106648601567
PILANIINVS,2019,-0.0005674537654802,-0.0824224433235641
PILANIINVS,2021,0.0030862793964419,0.6704220016404612
PILANIINVS,2022,0.0005581533307877,0.3040371769410586
PUNJABCHEM,2017,0.0033966998546805,-0.6567368814657859
PUNJABCHEM,2018,0.0015671266731528,
PUNJABCHEM,2019,0.0025944285583747,0.1564065855404437
PUNJABCHEM,2020,-0.0027316946422871,-0.1400495202723615
