stock,year,average_return
HEG,2016,-0.0014379884831681822
HEG,2017,0.002194273255611558
HEG,2018,0.011995550196482784
HEG,2019,-0.0008893528034210537
HEG,2020,-0.004853586324817639
HEG,2021,0.00508083223825317
HEG,2022,0.0004687183468186908
ICICIBANK,2016,-0.0009660781041607677
ICICIBANK,2017,0.000918027840758942
ICICIBANK,2018,0.0005999331728204577
ICICIBANK,2019,0.0017282545186627528
ICICIBANK,2020,-0.0005152481745357632
ICICIBANK,2021,0.0028063543755130634
ICICIBANK,2022,0.0010808315277347966
IIFL,2016,0.0008768112767945902
IIFL,2017,0.0031588004306472178
IIFL,2018,0.002777194073215479
IIFL,2019,-0.0013878084227423174
IIFL,2020,-0.003927108666419255
IIFL,2021,0.006262334898857653
IIFL,2022,0.0004406292973651
INDHOTEL,2016,-0.0003970095351254454
INDHOTEL,2017,0.0012003547943279184
INDHOTEL,2018,0.0005603728856466388
INDHOTEL,2019,0.0008448600422087552
INDHOTEL,2020,-0.002521593037737567
INDHOTEL,2021,0.002076644586479823
INDHOTEL,2022,0.0034809864163843924
JINDALPOLY,2016,0.0035387639430123057
JINDALPOLY,2017,1.4647543774748463e-05
JINDALPOLY,2018,-0.0006697812552591578
JINDALPOLY,2019,-0.0002765819413074983
JINDALPOLY,2020,-0.00025091051893477484
JINDALPOLY,2021,0.005840359478625085
JINDALPOLY,2022,0.002208604404628086
JSL,2016,0.0011591073355147856
JSL,2017,0.006538098326031868
JSL,2018,0.0008491112610979905
JSL,2019,-0.002228793745715731
JSL,2020,-0.0013795398262617514
JSL,2021,0.0047800939565380085
JSL,2022,0.005084288795278466
JUBLFOOD,2016,-0.0002838887753010614
JUBLFOOD,2017,-0.0002627858632472359
JUBLFOOD,2018,0.0032631027618324243
JUBLFOOD,2019,0.001179986398391144
JUBLFOOD,2020,0.0004289713437534866
JUBLFOOD,2021,0.0030258678408881462
JUBLFOOD,2022,-0.00010929146912171968
KAJARIACER,2016,0.0010006260857859807
KAJARIACER,2017,0.0010114819084989961
KAJARIACER,2018,6.509227487566028e-05
KAJARIACER,2019,0.00027805823159729524
KAJARIACER,2020,-0.001403035684164408
KAJARIACER,2021,0.003928875750489282
KAJARIACER,2022,0.0006268341406813939
KCP,2016,0.0017204713053020659
KCP,2017,0.0012027724585119781
KCP,2018,0.0013957196156412096
KCP,2019,-0.001368186906979712
KCP,2020,-0.002321979630765393
KCP,2021,0.0031919134208878543
KCP,2022,0.0017695477562118785
KNRCON,2016,0.0010476053524771896
KNRCON,2017,0.0028024060830517767
KNRCON,2018,0.0017856289486180253
KNRCON,2019,-5.9748914593295796e-05
KNRCON,2020,-0.0007891318534663228
KNRCON,2021,0.003478576566160261
KNRCON,2022,0.001394893523841517
KOLTEPATIL,2016,-0.0028896980568098476
KOLTEPATIL,2017,0.002869407293156562
KOLTEPATIL,2018,0.002575364270587499
KOLTEPATIL,2019,-0.00032549075433839584
KOLTEPATIL,2020,-0.0022508853200264908
KOLTEPATIL,2021,0.0030812149008181767
KOLTEPATIL,2022,0.0013881902375294654
KOTAKBANK,2016,0.000151502507756312
KOTAKBANK,2017,0.0010826930422125208
KOTAKBANK,2018,0.0008109694764273205
KOTAKBANK,2019,0.0011335648726975291
KOTAKBANK,2020,0.00011099708392498145
KOTAKBANK,2021,0.0015095619837995507
KOTAKBANK,2022,0.00015101594929365654
KSL,2016,0.001342090119665913
KSL,2017,0.003586901275374744
KSL,2018,-0.0005060093953586836
KSL,2019,-0.001132567708320783
KSL,2020,-0.0013410535951646032
KSL,2021,0.004083816077584561
KSL,2022,4.7132772163523e-05
LAURUSLABS,2016,
LAURUSLABS,2017,
LAURUSLABS,2018,2.5153793185940124e-05
LAURUSLABS,2019,-0.0007229711630735271
LAURUSLABS,2020,-0.0005494385744016971
LAURUSLABS,2021,0.00751822968924119
LAURUSLABS,2022,0.002269137218043767
LTI,2016,
LTI,2017,0.0002631103276799148
LTI,2018,0.0028281948094529305
LTI,2019,0.001228271437772404
LTI,2020,-0.0003106139806161653
LTI,2021,0.004574109944788681
LTI,2022,0.0019815022589937488
MGL,2016,
MGL,2017,0.0032303193316654765
